Fourth Round,2023-11-01,Bournemouth,Liverpool,1,2,FT,
Fourth Round,2023-11-01,Everton,Burnley,3,0,FT,
Fourth Round,2023-11-01,Ipswich Town,Fulham,1,3,FT,
Fourth Round,2023-11-01,Man United,Newcastle,0,3,FT,

Quarter-final,2023-12-19,Everton,Fulham,1,1,FT,P (6-7)
Quarter-final,2023-12-19,Port Vale,Middlesbrough,0,3,FT,
Quarter-final,2023-12-19,Chelsea,Newcastle,1,1,FT,P (4-2)
Quarter-final,2023-12-20,Liverpool,West Ham,5,1,FT,

Semi-final Leg1,2024-01-09,Middlesbrough,Chelsea,1,0,FT,
Semi-final Leg1,2024-01-10,Liverpool,Fulham,2,1,FT,

Semi-final Leg2,2024-01-23,Chelsea,Middlesbrough,6,1,FT,Aggregate 6-2
Semi-final Leg2,2024-01-24,Fulham,Liverpool,1,1,FT,Aggregate 2-3

Final,2024-02-25,Chelsea,Liverpool,0,1,FT,
